StudentID,Full Name,Email,Year of Registration,Year of Studies,Syllabus,Semester,Course Attending,Project Grade,Exam Grade,Final Grade 
134,Rudolf Sagrera,rudolf@uoi.gr,yldTlkB,2020,2,2,4,1,1.5,2.5,null
135,Kenneth Sag,kenneth@uoi.gr,bm3xGHf,2018,4,4,8,1,8.0,9.0,null
136,Meriame Hedrera,meriame@uoi.gr,EnNcMNL,2018,4,4,8,1,10.0,4.5,null
137,Mata Mattioli,mata@uoi.gr,1EalfNO,2019,3,3,6,1,6.0,9.0,null
138,Fidelis Audouin,fidelis@uoi.gr,S8wXiUU,2019,3,3,6,1,5.0,1.0,null
139,Manpreet Guille,manpreet@uoi.gr,hCHSzRP,2017,5,5,10,1,4.0,1.5,null
140,Ruben Anwar,ruben@uoi.gr,bQh1D5x,2021,1,1,2,1,9.5,10.0,null
141,Letitia Vehn,letitia@uoi.gr,kkZQ7Lz,2019,3,3,6,1,0.0,4.5,null
142,Rainer Palmier,rainer@uoi.gr,FQyC2Cs,2021,1,1,2,1,6.5,5.5,null
143,Badiaa Demir,badiaa@uoi.gr,thj7ZjE,2018,4,4,8,1,4.0,6.5,null
144,Muzaffar Hausberger,muzaffar@uoi.gr,9uKg8UD,2017,5,5,10,1,4.0,1.5,null
145,Yaretzi Wittmar,yaretzi@uoi.gr,ZQ3XFFm,2020,2,2,4,1,8.5,4.5,null
146,Humaira Schickedantz,humaira@uoi.gr,BJJOSJj,2017,5,5,10,1,9.0,6.5,null
147,Sever Quach,sever@uoi.gr,gSRTxUY,2017,5,5,10,1,4.5,5.5,null
148,Nahid Kolble,nahid@uoi.gr,biUPQ9H,2021,1,1,2,1,7.5,8.5,null
149,Khadem Helene,khadem@uoi.gr,iqHcoyo,2020,2,2,4,1,10.0,10.0,null
150,Refugia Serrudo,refugia@uoi.gr,BJ34842,2019,3,3,6,1,0.0,2.5,null
151,Nikolov Raikevich,nikolov@uoi.gr,zDk3tUr,2020,2,2,4,1,3.5,1.5,null
152,Bea Broschk,bea@uoi.gr,hUxyHUW,2019,3,3,6,1,2.0,3.0,null
153,Zula Kansinton,zula@uoi.gr,0oUCljm,2021,1,1,2,1,3.0,4.5,null
154,Szabolcs Malevsky,szabolcs@uoi.gr,Uy18mmr,2019,3,3,6,1,7.5,0.5,null
155,Grigore Vivek,grigore@uoi.gr,fAseURB,2019,3,3,6,1,2.5,1.0,null
156,Rongrong Zouhair,rongrong@uoi.gr,KqkuLNm,2018,4,4,8,1,0.5,1.5,null
157,Fabricia Quito,fabricia@uoi.gr,s0fayIK,2020,2,2,4,1,1.0,1.5,null
158,Harjinder Cajas,harjinder@uoi.gr,sMU0VNL,2017,5,5,10,1,4.0,5.5,null
159,Ricardo Pinzon,ricardo@uoi.gr,Bo2LYuk,2017,5,5,10,1,1.0,6.0,null
160,Samoila Sares,samoila@uoi.gr,M5CE82I,2018,4,4,8,1,7.5,9.0,null
161,Rosely ,rosely@uoi.gr,QYqEjD9,2020,2,2,4,1,5.0,6.0,null
162,Niculaie Valer,niculaie@uoi.gr,zeEefTE,2018,4,4,8,1,1.5,3.5,null
163,Inass Purva,inass@uoi.gr,hAWhko9,2019,3,3,6,1,10.0,8.5,null
164,Yunaisy Borre,yunaisy@uoi.gr,MOYGHuL,2017,5,5,10,1,6.5,8.0,null
165,Nouhoum Marmelo,nouhoum@uoi.gr,9AIKk3y,2020,2,2,4,1,6.5,9.0,null
166,Doyle Schlingschroder,doyle@uoi.gr,jnBS1gr,2018,4,4,8,1,9.0,7.5,null
167,Valentin Denningmann,valentin@uoi.gr,ORjqd1Q,2018,4,4,8,1,0.0,8.0,null
168,Kbir Bahtiev,kbir@uoi.gr,LahpdQD,2017,5,5,10,1,3.0,4.0,null
169,Nayade Hvarleva,nayade@uoi.gr,XFWUORs,2020,2,2,4,1,8.5,1.0,null
170,Saleha Lemes,saleha@uoi.gr,TO6Dx4W,2020,2,2,4,1,4.5,5.5,null
171,Deolinda Henrizi,deolinda@uoi.gr,351TUL9,2021,1,1,2,1,3.0,2.0,null
172,Barney Ferrigno,barney@uoi.gr,LCKPr0i,2021,1,1,2,1,5.0,6.0,null
173,Salim Zhogin,salim@uoi.gr,plVOyEX,2018,4,4,8,1,2.5,5.5,null
174,Azddin Argueso,azddin@uoi.gr,Dvb8Mo4,2018,4,4,8,1,2.5,0.5,null
175,Tulio Woernlein,tulio@uoi.gr,zAFpsyE,2021,1,1,2,1,2.5,6.5,null
176,Fanka Hinz,fanka@uoi.gr,ljvzwLZ,2018,4,4,8,1,2.5,5.5,null
177,Anatolie Parameswaran,anatolie@uoi.gr,1EiRffk,2018,4,4,8,1,2.5,7.5,null
178,Linwei Cadavez,linwei@uoi.gr,GF8YWNs,2019,3,3,6,1,0.0,2.0,null
179,Trancito Oltmans,trancito@uoi.gr,7tE0oq4,2017,5,5,10,1,2.0,5.5,null
180,Reiko Hel,reiko@uoi.gr,9C97Yp0,2021,1,1,2,1,9.0,7.5,null
181,Urtzi Segerer,urtzi@uoi.gr,G09pM24,2021,1,1,2,1,3.5,4.0,null
182,Masum Vazoo,masum@uoi.gr,9xxHVDI,2021,1,1,2,1,7.0,0.5,null
183,Xiaohui Rieflin,xiaohui@uoi.gr,PzsQjAE,2018,4,4,8,1,5.0,3.0,null
184,Uyi Hugarte,uyi@uoi.gr,KT0zr4t,2021,1,1,2,1,5.5,10.0,null
185,Bonifacia Gangoiti,bonifacia@uoi.gr,fQwS9gR,2021,1,1,2,1,0.0,9.0,null
186,Pascale Tarife,pascale@uoi.gr,TS5SiIu,2019,3,3,6,1,1.0,2.5,null
187,Carin Sempere,carin@uoi.gr,OpcBGZU,2017,5,5,10,1,1.0,2.5,null
188,Merzak Bronchal,merzak@uoi.gr,puC1hNT,2019,3,3,6,1,7.5,2.5,null
189,Darc Pilatasig,darc@uoi.gr,5jEnex3,2020,2,2,4,1,0.0,8.5,null
190,Basiru Riddell,basiru@uoi.gr,gLlqlkM,2018,4,4,8,1,4.5,10.0,null
191,Zoran Pujal,zoran@uoi.gr,BGRFMGp,2021,1,1,2,1,4.5,8.0,null
192,Koji Koeplin,koji@uoi.gr,ucbntS0,2019,3,3,6,1,0.5,3.5,null
193,Aniel Martinena,aniel@uoi.gr,pHrKkkc,2019,3,3,6,1,8.0,0.0,null
194,Ines Watremez,ines@uoi.gr,UE6Y0Bx,2018,4,4,8,1,4.5,0.0,null
195,Sulaiman Fisun,sulaiman@uoi.gr,QBK8mAx,2021,1,1,2,1,7.5,6.5,null
196,Sanjuana Carrio,sanjuana@uoi.gr,46lyLil,2018,4,4,8,1,6.0,5.0,null
197,Alien Achnit,alien@uoi.gr,XnmgbWG,2021,1,1,2,1,8.5,2.5,null
198,Daviti Parraga,daviti@uoi.gr,OQd7azr,2018,4,4,8,1,2.5,4.5,null
199,Arundhati Cantino,arundhati@uoi.gr,j6cNA2v,2020,2,2,4,1,0.5,5.5,null
200,Annmarie Villora,annmarie@uoi.gr,qp0eKRu,2018,4,4,8,1,9.5,0.0,null
201,Moumen Sospedra,moumen@uoi.gr,MzyZhXG,2021,1,1,2,2,4.5,4.5,null
202,Analis Meyr,analis@uoi.gr,6EyXI5C,2020,2,2,4,2,3.5,7.0,null
203,Carolyn Villava,carolyn@uoi.gr,aVeugqD,2020,2,2,4,2,6.5,5.5,null
204,Pancho Yucra,pancho@uoi.gr,13vmBp2,2020,2,2,4,2,1.0,3.0,null
205,Bouabdellah Luethje,bouabdellah@uoi.gr,iuoP0p5,2017,5,5,10,2,3.5,9.5,null
206,Ayob Filiberto,ayob@uoi.gr,4LGdCQF,2019,3,3,6,2,0.0,1.5,null
207,Zouhair Jaedicke,zouhair@uoi.gr,XVjKqwe,2017,5,5,10,2,3.5,3.5,null
208,Eugeniusz Meurers,eugeniusz@uoi.gr,gPUDNcX,2018,4,4,8,2,6.5,8.0,null
209,Vianca Mousset,vianca@uoi.gr,oitqkXj,2018,4,4,8,2,7.0,4.5,null
210,Jettie Czec,jettie@uoi.gr,g8E8Dsu,2020,2,2,4,2,2.5,7.5,null
211,Van Rayner,van@uoi.gr,dwjt5zn,2018,4,4,8,2,8.0,4.0,null
212,Edisa Zunder,edisa@uoi.gr,ezUdKIf,2021,1,1,2,2,9.5,9.0,null
213,Veronique Garachana,veronique@uoi.gr,Hcw9hWR,2021,1,1,2,2,9.5,0.0,null
214,Hendrikje Arcan,hendrikje@uoi.gr,GX4AgWn,2021,1,1,2,2,3.0,7.0,null
215,Nichol Fromkin,nichol@uoi.gr,O8rUBHo,2020,2,2,4,2,6.5,9.5,null
216,Shenghua Grunwald,shenghua@uoi.gr,PcoMjMN,2019,3,3,6,2,6.5,8.0,null
217,Clovis Bruggehofe,clovis@uoi.gr,nbWitiX,2017,5,5,10,2,1.5,8.5,null
218,Florin Cachorro,florin@uoi.gr,23N2NQN,2020,2,2,4,2,5.5,6.0,null
219,Iraide Krumova,iraide@uoi.gr,5mDHwUk,2017,5,5,10,2,4.0,7.0,null
220,Matt Jaraquemada,matt@uoi.gr,2Gc8Mw5,2018,4,4,8,2,0.5,4.0,null
221,Selva Queipo,selva@uoi.gr,9aRny5W,2019,3,3,6,2,5.0,6.5,null
222,Ozlem Jahreis,ozlem@uoi.gr,JrSKF1S,2017,5,5,10,2,4.0,6.0,null
223,Alesya Sanner,alesya@uoi.gr,2vbXLs9,2021,1,1,2,2,0.0,9.5,null
224,Guy Ballbe,guy@uoi.gr,GLEfCk9,2017,5,5,10,2,8.5,4.5,null
225,Minervino El Bahraoui,minervino@uoi.gr,6sSWsGQ,2020,2,2,4,2,9.0,9.5,null
226,Nikolina Meiners,nikolina@uoi.gr,VUl2Nfw,2018,4,4,8,2,1.0,1.0,null
227,Gorgonio Homer,gorgonio@uoi.gr,YklEqjk,2021,1,1,2,2,10.0,2.0,null
228,Esmerinda Grozhantsev,esmerinda@uoi.gr,PG1Du6I,2018,4,4,8,2,6.5,9.5,null
229,Peregrino Kordts,peregrino@uoi.gr,VkM5a6e,2021,1,1,2,2,0.5,1.5,null
230,Dilip Petrica,dilip@uoi.gr,z3ZGCjj,2018,4,4,8,2,7.5,3.5,null
231,Yaritza Margeneiro,yaritza@uoi.gr,DiseO2K,2018,4,4,8,2,1.5,8.0,null
232,Baerbel Pascalis,baerbel@uoi.gr,rVLf6qo,2019,3,3,6,2,10.0,2.0,null
233,Kuldip Pelletier,kuldip@uoi.gr,Wy3EDwM,2018,4,4,8,2,6.5,4.5,null
234,Artie Bernad,artie@uoi.gr,5leTJTu,2019,3,3,6,2,10.0,2.5,null
235,Zugaitz Mosse,zugaitz@uoi.gr,MovmpqH,2021,1,1,2,2,9.5,3.0,null
236,Oleksii Criollo,oleksii@uoi.gr,gHSou1M,2019,3,3,6,2,4.5,8.0,null
237,Basiru Kunzendorf,basiru@uoi.gr,Z7ImCpk,2017,5,5,10,2,0.5,5.5,null
238,Sequero Bulmansk,sequero@uoi.gr,QwjLXP9,2020,2,2,4,2,2.5,0.0,null
239,Noufal Milud,noufal@uoi.gr,Pv2mjUz,2017,5,5,10,2,9.5,3.5,null
240,Hussam Guede,hussam@uoi.gr,Jr8j9d9,2020,2,2,4,2,9.5,8.0,null
241,Indalecio Olarte,indalecio@uoi.gr,ho2Zs5m,2021,1,1,2,2,8.0,9.0,null
242,Zbigniew Shahnazaryants,zbigniew@uoi.gr,zXIg8Cu,2018,4,4,8,2,1.0,6.5,null
243,Carol Harraz,carol@uoi.gr,zox85V9,2017,5,5,10,2,9.5,0.0,null
244,Ismail Ortueta,ismail@uoi.gr,204t954,2019,3,3,6,2,2.5,4.0,null
245,Sena Oelrichs,sena@uoi.gr,pdxKcgd,2019,3,3,6,2,7.5,1.5,null
246,Zhivka Youyou,zhivka@uoi.gr,YcyFmk6,2018,4,4,8,2,0.5,4.0,null
247,Jeronia Valinha,jeronia@uoi.gr,gC8mPrI,2018,4,4,8,2,9.0,0.5,null
248,Ginny Berzen,ginny@uoi.gr,IjsKrgh,2017,5,5,10,2,6.5,0.5,null
249,Baya Winklhofer,baya@uoi.gr,sjUPyOv,2017,5,5,10,2,3.0,3.0,null
250,Kashif Gasman,kashif@uoi.gr,Lyo1tPH,2017,5,5,10,2,1.0,10.0,null
251,Weronika Chito,weronika@uoi.gr,6aJgCUJ,2018,4,4,8,2,2.0,6.0,null
252,Mirjana Gamazo,mirjana@uoi.gr,Mh9IK3d,2021,1,1,2,2,9.0,1.5,null
253,Tacko Creutzig,tacko@uoi.gr,gkZ049c,2019,3,3,6,2,1.0,10.0,null
254,Emeline Benjumeda,emeline@uoi.gr,q0IVfNR,2021,1,1,2,2,5.0,5.0,null
255,Sharyn Massari,sharyn@uoi.gr,BD2BuCb,2017,5,5,10,2,3.0,0.5,null
256,Yuki Stan,yuki@uoi.gr,vVlxze6,2019,3,3,6,2,5.5,2.5,null
257,Zhihao Neymans,zhihao@uoi.gr,PEW2QZF,2020,2,2,4,2,7.5,6.5,null
258,Bet Gorgal,bet@uoi.gr,pqVgIf4,2019,3,3,6,2,4.0,5.0,null
259,Moustafa Peruzurguin,moustafa@uoi.gr,zCXueNF,2021,1,1,2,2,4.0,9.0,null
260,Haddoum Ruhlicke,haddoum@uoi.gr,fwXfCgV,2020,2,2,4,2,6.5,9.5,null
261,Mfaddal Celia,mfaddal@uoi.gr,Lt6qStZ,2019,3,3,6,2,1.5,0.5,null
262,Stormy Carraga,stormy@uoi.gr,DXvxE0F,2020,2,2,4,2,0.0,2.0,null
263,Lucio Sellart,lucio@uoi.gr,juCuPNH,2017,5,5,10,2,2.5,0.5,null
264,Lorina Escosa,lorina@uoi.gr,329RkQL,2018,4,4,8,2,3.0,9.0,null
265,Jiaxin Finkel,jiaxin@uoi.gr,iusuhfb,2021,1,1,2,2,0.0,4.5,null
266,Hadji Chudasama,hadji@uoi.gr,R9j5cLI,2017,5,5,10,2,3.5,7.5,null
267,Shaira Klerkx,shaira@uoi.gr,b4nRvQZ,2017,5,5,10,2,9.5,7.0,null
268,Rosalin Fernandez Nespral,rosalin@uoi.gr,xfFN3ln,2020,2,2,4,2,7.0,0.5,null
269,Georgina Stirzenbecher,georgina@uoi.gr,GQcueFU,2020,2,2,4,2,0.5,0.5,null
270,Jacqualine Bumba,jacqualine@uoi.gr,drCGWw4,2018,4,4,8,2,8.5,2.0,null
271,Patrica Isaacson,patrica@uoi.gr,OPR58Vy,2017,5,5,10,2,3.5,7.5,null
272,Malinalli Bafaluy,malinalli@uoi.gr,Ey0Jp4L,2020,2,2,4,2,6.5,3.5,null
273,Moneiba Pigem,moneiba@uoi.gr,ClqGlcb,2021,1,1,2,2,9.0,5.0,null
274,Lacramioara Kalakos,lacramioara@uoi.gr,GPrCbRX,2020,2,2,4,2,3.0,4.5,null
275,Idayra Georgius,idayra@uoi.gr,uwePA1o,2018,4,4,8,2,0.5,6.5,null
276,Irache Lichkun,irache@uoi.gr,ggaU1ki,2021,1,1,2,2,10.0,0.0,null
277,Hadiya Bauerschmitt,hadiya@uoi.gr,OsAwbh6,2018,4,4,8,2,8.5,2.0,null
278,Cara Griening,cara@uoi.gr,SOzpE96,2018,4,4,8,2,1.0,3.0,null
279,Tinisha Requejo,tinisha@uoi.gr,rcgOjz9,2017,5,5,10,2,5.5,3.5,null
280,Cordell Data,cordell@uoi.gr,tZnxNMC,2019,3,3,6,2,7.5,1.0,null
281,Bita De Jodar,bita@uoi.gr,IcA3FTa,2018,4,4,8,2,0.0,6.5,null
282,Fidela Lahasen,fidela@uoi.gr,YN2WWxp,2018,4,4,8,2,6.0,5.5,null
283,Bailey Garibaldi,bailey@uoi.gr,sGLakqR,2021,1,1,2,2,9.0,0.5,null
284,Dosindo Muñecas,dosindo@uoi.gr,ECNke4m,2017,5,5,10,2,0.5,7.0,null
285,Sankung Fulla,sankung@uoi.gr,8zAdv9q,2018,4,4,8,2,5.0,2.5,null
286,Tia Jaehnigen,tia@uoi.gr,lYa95q5,2021,1,1,2,2,2.0,0.0,null
287,Hanifa Mathe,hanifa@uoi.gr,WYBqT18,2021,1,1,2,2,7.0,1.0,null
288,Mirel Hattenkofer,mirel@uoi.gr,J5MW8oE,2019,3,3,6,2,6.5,9.5,null
289,Nimia Bronikowsk,nimia@uoi.gr,Y6HFmpa,2020,2,2,4,2,5.0,2.5,null
290,Jordan Rosenfeld,jordan@uoi.gr,Ee0dXPk,2017,5,5,10,2,2.5,4.0,null
291,Stefka Loma Osorio,stefka@uoi.gr,LlC6IIi,2021,1,1,2,2,6.5,10.0,null
292,Guo Ajogin,guo@uoi.gr,WeSdvmZ,2018,4,4,8,2,4.5,5.5,null
293,Jiahao Stehli,jiahao@uoi.gr,OPmgx1m,2021,1,1,2,2,2.5,4.0,null
294,Idalba Lahiri,idalba@uoi.gr,cJXbQpc,2020,2,2,4,2,7.5,6.5,null
295,Wahab Higuerategui,wahab@uoi.gr,aETMplp,2019,3,3,6,2,1.5,2.0,null
296,Jinan Jouy,jinan@uoi.gr,mLLMjVA,2018,4,4,8,2,1.0,9.5,null
297,Aurembiaix Lan,aurembiaix@uoi.gr,EA5W90J,2019,3,3,6,2,0.0,1.0,null
298,Viola Nayak,viola@uoi.gr,IDemX9c,2018,4,4,8,2,8.5,9.5,null
299,Kapka Kosztelnik,kapka@uoi.gr,KIxHh7D,2018,4,4,8,2,3.0,1.0,null
300,Aijiao Amico,aijiao@uoi.gr,qtmaVHU,2020,2,2,4,2,3.5,2.0,null
301,Enea Ubeda Portugues,enea@uoi.gr,LYUSbIQ,2019,3,3,6,3,5.0,5.0,null
302,Sandalia Lanzos,sandalia@uoi.gr,I1JfMrB,2020,2,2,4,3,8.5,6.5,null
303,Felipe Hardebusch,felipe@uoi.gr,AoqhKoR,2021,1,1,2,3,6.5,9.5,null
304,Hassen Lihterman,hassen@uoi.gr,V8nJ1Tr,2020,2,2,4,3,5.5,7.5,null
305,Magdala Sheludshev,magdala@uoi.gr,8zMlaTM,2021,1,1,2,3,3.0,0.5,null
306,Jane Cortadellas,jane@uoi.gr,hXNwjxw,2020,2,2,4,3,9.5,0.0,null
307,Kulvir Novales,kulvir@uoi.gr,rhD9hzt,2021,1,1,2,3,8.5,2.5,null
308,Marek Bundgen,marek@uoi.gr,YHyzdrp,2018,4,4,8,3,2.5,7.0,null
309,Herschel Ippensen,herschel@uoi.gr,cCaIvyZ,2021,1,1,2,3,7.5,5.0,null
310,Licesio Preston,licesio@uoi.gr,Cyu8rjz,2021,1,1,2,3,3.5,1.0,null
311,Theodor Buchhold,theodor@uoi.gr,51iKCU7,2019,3,3,6,3,7.5,10.0,null
312,Angustia Tenholt,angustia@uoi.gr,ZeZgtFr,2019,3,3,6,3,4.0,4.0,null
313,Conrad Immink,conrad@uoi.gr,24uOhx9,2021,1,1,2,3,5.0,2.0,null
314,Eladina Luzarrague,eladina@uoi.gr,41em1yP,2017,5,5,10,3,0.5,6.5,null
315,Monica Miercke,monica@uoi.gr,WOOWoqq,2019,3,3,6,3,6.5,2.0,null
316,Brando Rylke,brando@uoi.gr,nF619Jj,2019,3,3,6,3,4.5,4.5,null
317,Dunja Neuhoff,dunja@uoi.gr,nkI2oWb,2020,2,2,4,3,6.0,6.0,null
318,Brandon Jarauta,brandon@uoi.gr,iXm2kkl,2018,4,4,8,3,2.0,8.5,null
319,Khadra Andreichuk,khadra@uoi.gr,F2cxMki,2017,5,5,10,3,0.0,10.0,null
320,Audrea Markhasin,audrea@uoi.gr,8N1LEyP,2019,3,3,6,3,7.5,5.0,null
321,Ayeisa Zobelein,ayeisa@uoi.gr,91rhNkm,2020,2,2,4,3,5.5,1.5,null
322,Muela Haferanke,muela@uoi.gr,YxDXQr5,2020,2,2,4,3,1.0,2.5,null
323,Vicencio Benen,vicencio@uoi.gr,OSP6xKh,2017,5,5,10,3,6.5,5.5,null
324,Yamadou Meiers,yamadou@uoi.gr,twqq6QR,2017,5,5,10,3,9.5,2.5,null
325,Severin Voznov,severin@uoi.gr,OljgdZ0,2021,1,1,2,3,0.5,9.0,null
326,Wenwei Goel,wenwei@uoi.gr,5ufNesg,2021,1,1,2,3,6.0,3.5,null
327,Hichem Cambra,hichem@uoi.gr,kEy436h,2019,3,3,6,3,1.0,8.0,null
328,Judita Ciriano,judita@uoi.gr,6URni3b,2020,2,2,4,3,4.5,6.5,null
329,Zhaira Diamanka,zhaira@uoi.gr,7phn6lc,2019,3,3,6,3,2.5,6.0,null
330,Juno Ederer,juno@uoi.gr,UGrEfmt,2021,1,1,2,3,0.5,9.0,null
331,Houaria Calhau,houaria@uoi.gr,CnI64K0,2020,2,2,4,3,6.0,6.5,null
332,Anya Zehnter,anya@uoi.gr,GbzUFfy,2018,4,4,8,3,5.5,9.0,null
333,Mousa Noltes,mousa@uoi.gr,nbWa87P,2017,5,5,10,3,6.5,6.0,null
334,Jami Marinova,jami@uoi.gr,MAYk3Rm,2017,5,5,10,3,7.5,5.5,null
335,Ronald Auerbakh,ronald@uoi.gr,AtGWW6r,2017,5,5,10,3,9.0,4.0,null
336,Adao Maite,adao@uoi.gr,lT3RyXv,2018,4,4,8,3,5.0,3.5,null
337,Lenuta Zurloh,lenuta@uoi.gr,tLyM2YV,2020,2,2,4,3,7.0,8.0,null
338,Katya Oleas,katya@uoi.gr,T50IKUz,2021,1,1,2,3,0.5,0.0,null
339,Carlee Aspegorta,carlee@uoi.gr,UBpNYzN,2018,4,4,8,3,4.0,8.0,null
340,Maudie Chavarri,maudie@uoi.gr,WZbTXus,2018,4,4,8,3,3.5,6.5,null
341,Eun Preto,eun@uoi.gr,8QjHkNl,2017,5,5,10,3,10.0,6.5,null
342,Iliasse Maizi,iliasse@uoi.gr,OEc0UUi,2018,4,4,8,3,6.0,9.0,null
343,Nouhayla Castrosin,nouhayla@uoi.gr,oEWy3OT,2020,2,2,4,3,6.0,6.5,null
344,Mariella Buckne,mariella@uoi.gr,0G7Hm5J,2021,1,1,2,3,5.5,6.5,null
345,Guerau Soester,guerau@uoi.gr,lryCg9D,2021,1,1,2,3,8.5,5.0,null
346,Maye Abanin,maye@uoi.gr,EUnVhz4,2018,4,4,8,3,4.0,4.0,null
347,Guillermina Viron,guillermina@uoi.gr,KDizFCB,2018,4,4,8,3,6.0,5.5,null
348,Carri Wubben,carri@uoi.gr,btC4S1D,2020,2,2,4,3,5.5,6.5,null
349,Hongjun Logeiro,hongjun@uoi.gr,wPkLVa4,2021,1,1,2,3,3.5,5.0,null
350,Kauzar Lindoso,kauzar@uoi.gr,PcT6hSx,2018,4,4,8,3,1.0,9.0,null
351,Chen Polizzi,chen@uoi.gr,kguYFMm,2021,1,1,2,3,5.0,6.0,null
352,Jeremiah Dworak,jeremiah@uoi.gr,6VtOVIc,2018,4,4,8,3,8.0,1.0,null
353,Beverly Ermanno,beverly@uoi.gr,iVYVayo,2020,2,2,4,3,7.5,1.0,null
354,Oystein Ghica,oystein@uoi.gr,em0zwKY,2019,3,3,6,3,2.5,5.0,null
355,Mercy Arntz,mercy@uoi.gr,XfdeEBv,2018,4,4,8,3,0.5,7.0,null
356,Anelia Santurde,anelia@uoi.gr,WOw7u1U,2021,1,1,2,3,3.0,9.5,null
357,Pastora Dakhno,pastora@uoi.gr,r7pKhxe,2020,2,2,4,3,2.0,5.0,null
358,Kalina ,kalina@uoi.gr,l2uCLjW,2020,2,2,4,3,8.5,3.5,null
359,Shoaib Vaskov,shoaib@uoi.gr,Z1b8i7h,2018,4,4,8,3,8.5,0.5,null
360,Ludivina Seimer,ludivina@uoi.gr,HcmZKuQ,2019,3,3,6,3,9.5,3.0,null
361,Valeriia Noboa,valeriia@uoi.gr,dCVNAyj,2020,2,2,4,3,9.5,9.0,null
362,Roar Goppel,roar@uoi.gr,wXUB2NK,2017,5,5,10,3,4.5,0.5,null
363,Aouatif Sanchez Porro,aouatif@uoi.gr,TANkKsM,2018,4,4,8,3,9.5,9.0,null
364,Tonica Muriana,tonica@uoi.gr,DI6o6uC,2019,3,3,6,3,5.0,2.0,null
365,Guido Thedinga,guido@uoi.gr,2AQWb0P,2021,1,1,2,3,0.0,2.5,null
366,Badel Sachtlebe,badel@uoi.gr,LJAbw2A,2017,5,5,10,3,2.0,7.5,null
